Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,23.709999,23.889999,23.32,23.42,2124400,20.760773
2013-03-01,23.129999,24.889999,22.82,23.67,1087800,20.982386
2013-02-01,23.83,25.32,22.98,23.219999,1723100,20.583481
2013-01-02,20.700001,23.860001,20.68,23.66,1696800,20.76149
2012-12-03,19.85,20.83,19.450001,20.23,2639200,17.751688
2012-11-01,23.219999,23.35,18.280001,19.85,1123200,17.41824
2012-10-01,20.85,23.48,20.280001,23.24,1011500,18.781761
2012-09-04,21.190001,22.129999,19.889999,20.690001,969200,16.720942
2012-08-01,20.209999,22.139999,19.51,21.219999,1197300,17.149267
2012-07-02,21.889999,22.309999,19.32,20.110001,986100,16.061096
2012-06-01,19.09,23.059999,18.540001,21.85,1104200,17.450768
2012-05-01,22.120001,23.23,19.08,20.09,1020400,16.045122
2012-04-02,22.440001,23.17,20.030001,22.08,1157600,17.444841
2012-03-01,20.530001,23.889999,19.33,22.41,1523000,17.705566
2012-02-01,17.190001,21.50,17.18,20.49,1815800,16.188623
2012-01-03,15.61,19.280001,15.45,17.08,2440400,13.323294
2011-12-01,15.82,16.25,14.36,15.15,2032600,11.817792
2011-11-01,18.75,19.709999,15.05,15.87,2265300,12.37943
2011-10-03,17.629999,22.389999,16.16,19.540001,1709100,15.055392
2011-09-01,17.790001,19.809999,16.01,17.530001,1925400,13.506705
2011-08-01,21.799999,21.799999,16.059999,17.709999,2537300,13.645392
2011-07-01,23.940001,24.540001,21.030001,21.370001,1291100,16.275131
2011-06-01,25.50,25.530001,23.43,23.84,1000800,18.156252
2011-05-02,25.870001,26.959999,24.780001,25.629999,999300,19.519493
2011-04-01,26.99,27.110001,25.450001,25.780001,810500,19.452499
2011-03-01,27.610001,28.23,24.93,26.75,972700,20.18442
2011-02-01,27.139999,27.950001,26.50,27.559999,855200,20.79561
2011-01-03,26.42,28.57,25.879999,27.08,1293500,20.250504
2010-12-01,24.02,27.02,24.01,26.17,1018400,19.570004
2010-11-01,25.10,25.559999,23.52,23.709999,1221600,17.730408
2010-10-01,22.92,25.16,22.76,24.91,1124600,18.447721
2010-09-01,21.08,23.540001,20.99,22.76,1000500,16.855486
2010-08-02,21.49,21.85,20.01,20.85,1415700,15.440989
2010-07-01,20.67,22.15,20.26,21.219999,1462000,15.53743
2010-06-01,21.99,22.950001,20.67,20.709999,1716300,15.164003
2010-05-03,24.40,24.74,21.799999,22.209999,2237400,16.262314
2010-04-01,26.58,27.32,23.950001,24.120001,1652900,17.484222
2010-03-01,25.02,26.83,24.940001,26.379999,1072900,19.122461
2010-02-01,25.440001,26.73,23.85,25.01,1686500,18.12937
2010-01-04,27.709999,28.139999,24.870001,25.379999,1441400,17.364004
2009-12-01,25.99,28.309999,24.809999,27.50,1103000,18.814426
2009-11-02,26.43,28.049999,25.41,25.780001,1120900,17.637671
2009-10-01,26.209999,28.10,24.76,26.25,1212100,17.796082
2009-09-01,26.15,27.50,24.879999,26.370001,965900,17.877436
2009-08-03,26.059999,27.219999,24.48,26.25,918300,17.796082
2009-07-01,24.200001,26.51,22.35,25.93,1109500,17.417307
2009-06-01,25.200001,26.85,22.629999,24.09,1233300,16.18137
2009-05-01,22.92,25.030001,21.60,25.030001,1530100,16.812773
2009-04-01,21.91,24.42,21.08,22.879999,1619400,15.209757
2009-03-02,18.290001,23.209999,16.18,22.26,2309400,14.797606
2009-02-02,19.290001,22.93,18.25,18.860001,2632900,12.537415
2009-01-02,17.299999,21.52,16.10,19.52,2251500,12.820366
2008-12-01,18.99,23.719999,15.80,16.959999,1975000,11.139006
2008-11-03,24.129999,25.74,15.90,19.85,1401900,13.037104
2008-10-01,28.52,29.59,18.129999,24.200001,1645700,15.744919
2008-09-02,34.110001,36.630001,17.17,28.85,2731700,18.770285
2008-08-01,32.50,34.299999,29.27,33.439999,1592100,20.022617
2008-07-01,34.41,36.209999,29.780001,32.860001,1914600,19.531021
2008-06-02,36.59,38.810001,34.279999,34.419998,1058000,20.458237
