Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,31.08,31.09,30.90,31.00,270200,19.153748
2013-03-01,30.799999,31.23,30.26,31.10,283200,19.215534
2013-02-01,30.639999,31.709999,30.15,30.75,243200,18.891081
2013-01-02,29.42,30.620001,29.280001,30.620001,409300,18.703007
2012-12-03,28.709999,29.90,28.26,29.24,298300,17.754854
2012-11-01,28.530001,28.809999,27.01,28.700001,317100,16.819757
2012-10-01,28.25,28.959999,27.85,28.440001,317100,16.563324
2012-09-04,27.209999,28.34,27.10,28.23,397300,16.3398
2012-08-01,26.549999,27.27,26.040001,27.139999,222400,15.607606
2012-07-02,25.42,26.629999,25.030001,26.360001,221800,15.058553
2012-06-01,25.790001,26.23,25.25,25.809999,105700,14.643321
2012-05-25,25.00,25.959999,24.959999,25.85,725400,14.666016
