Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,4.49,4.49,4.27,4.46,77000,4.075031
2013-03-01,4.37,4.63,3.97,4.46,164200,4.075031
2013-02-01,4.29,4.64,4.09,4.44,59900,4.008577
2013-01-02,4.09,4.39,4.01,4.29,56100,3.873152
2012-12-03,4.44,4.56,3.87,4.09,98200,3.692586
2012-11-01,4.59,4.60,3.86,4.43,43700,3.955109
2012-10-01,4.92,4.95,4.51,4.60,29200,4.106885
2012-09-04,4.45,4.98,4.42,4.93,55100,4.40151
2012-08-01,4.82,5.00,4.36,4.47,41200,3.94763
2012-07-02,5.02,5.32,4.40,4.80,37400,4.239067
2012-06-01,4.82,5.42,4.60,4.99,84900,4.406863
2012-05-01,5.17,5.28,4.25,4.92,83600,4.301766
2012-04-02,5.05,5.47,4.95,5.13,36800,4.485378
2012-03-01,5.26,5.62,4.89,5.02,54500,4.3892
2012-02-01,6.38,6.67,5.24,5.24,91400,4.536103
2012-01-03,6.84,6.92,6.13,6.37,28300,5.514309
2011-12-01,6.63,7.17,6.07,6.70,76000,5.799979
2011-11-01,6.75,7.50,5.88,6.67,62800,5.728545
2011-10-03,6.26,7.25,5.53,7.01,164500,6.020555
2011-09-01,5.80,6.51,5.00,6.29,126800,5.402181
2011-08-01,6.01,6.29,4.80,5.75,67300,4.938401
2011-07-01,6.78,6.86,5.07,6.05,58000,5.196057
2011-06-01,6.07,7.05,5.99,6.81,83500,5.848784
2011-05-02,6.40,6.92,5.60,6.03,130600,5.17888
2011-04-01,7.68,7.82,6.08,6.41,122500,5.505243
2011-03-01,7.73,8.20,7.21,7.67,87900,6.587398
2011-02-01,9.65,9.72,7.58,7.74,113100,6.647517
2011-01-03,9.24,10.23,8.05,9.63,125700,8.270748
2010-12-15,9.05,9.35,8.08,9.20,555300,7.901441
