Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,20.01,20.33,19.98,20.33,1474800,18.269415
2013-03-01,21.00,21.620001,19.059999,20.030001,1177800,17.999823
2013-02-01,21.58,22.32,19.73,21.219999,382900,18.890726
2013-01-02,20.48,21.450001,19.90,21.33,336000,18.988651
2012-12-03,17.91,20.49,17.52,20.24,632800,18.018299
2012-11-01,19.889999,20.49,17.00,17.77,95000,15.656956
2012-10-01,19.790001,20.049999,18.639999,20.00,84900,17.621784
2012-09-04,17.450001,20.85,17.450001,19.74,197100,17.3927
2012-08-01,16.09,18.360001,14.10,17.50,156900,15.419062
2012-07-02,17.040001,17.530001,15.64,16.01,119000,14.106238
2012-06-01,14.69,17.34,14.39,17.190001,152600,15.145924
2012-05-01,18.360001,18.459999,14.81,14.90,82900,13.128229
2012-04-02,16.15,18.57,15.81,18.40,146300,16.212042
2012-03-01,16.08,16.440001,15.49,16.209999,203300,14.282455
2012-02-01,14.82,16.85,14.70,16.07,138900,14.159103
2012-01-03,13.78,14.80,13.46,14.74,153300,12.987255
2011-12-01,13.08,13.90,12.76,13.50,87600,11.894705
2011-11-01,13.48,14.17,11.85,13.14,129700,11.577513
2011-10-03,12.07,14.53,10.92,13.75,126100,12.114977
2011-09-01,14.66,14.86,11.92,12.11,241200,10.66999
2011-08-01,17.92,18.00,11.95,14.67,319600,12.925579
2011-07-01,18.91,19.639999,17.530001,17.780001,136800,15.665767
2011-06-01,20.68,21.00,17.59,18.91,242500,16.661396
2011-05-02,19.50,20.91,17.280001,20.91,397700,18.423574
2011-04-01,15.35,19.610001,15.30,19.50,508200,17.18124
2011-03-01,14.10,15.38,13.98,15.34,173300,13.515908
2011-02-01,14.90,15.74,13.91,14.04,154900,12.370493
2011-01-03,13.87,14.87,13.75,14.84,133500,13.075364
2010-12-01,12.14,14.37,12.11,13.80,133500,12.159031
2010-11-01,12.92,13.17,11.74,12.05,285500,10.617126
2010-10-01,12.68,13.41,12.47,12.88,83000,11.348429
2010-09-01,12.19,13.73,11.97,12.61,101400,11.110535
2010-08-02,12.74,13.08,11.03,12.11,299400,10.66999
2010-07-01,12.39,13.14,11.97,12.66,102300,11.15459
2010-06-01,13.89,14.59,11.52,12.37,257900,10.899074
2010-05-03,15.55,15.84,13.04,13.94,309600,12.282383
2010-04-01,15.14,15.77,14.55,15.56,210900,13.709748
2010-03-01,13.53,15.56,13.30,15.06,315800,13.269204
2010-02-01,13.89,14.99,13.10,13.40,449900,11.806595
2010-01-04,13.78,15.27,13.70,13.87,239500,12.220707
2009-12-11,11.40,13.92,11.09,13.79,1240400,12.15022
