Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,8.99,9.04,8.97,8.98,19200,7.067565
2013-03-01,8.97,9.17,8.79,9.01,14600,7.091177
2013-02-01,9.13,9.15,8.90,9.01,11100,7.056072
2013-01-02,8.90,9.27,8.79,9.09,20200,7.083169
2012-12-03,8.98,8.99,8.70,8.78,15800,6.807626
2012-11-01,8.87,8.94,8.48,8.91,20300,6.873454
2012-10-01,8.86,9.09,8.79,8.82,25300,6.768952
2012-09-04,8.62,8.87,8.62,8.81,11200,6.728149
2012-08-01,8.53,8.69,8.47,8.67,15600,6.588012
2012-07-02,8.28,8.53,8.25,8.47,13000,6.40479
2012-06-01,7.86,8.25,7.75,8.25,14300,6.207387
2012-05-01,8.29,8.33,7.74,7.89,12300,5.905699
2012-04-02,8.02,8.29,7.75,8.29,15900,6.172926
2012-03-01,8.13,8.36,7.97,8.08,16800,5.985815
2012-02-01,8.05,8.18,7.93,8.07,19900,5.948081
2012-01-03,7.62,8.04,7.61,8.02,13400,5.880233
2011-12-01,7.56,7.75,7.44,7.57,11700,5.519902
2011-11-01,7.55,7.87,7.36,7.49,10200,5.431464
2011-10-03,7.00,7.69,6.72,7.65,17100,5.51727
2011-09-01,7.88,7.96,7.19,7.19,12000,5.155678
2011-08-01,7.82,8.03,7.04,7.84,18500,5.591065
2011-07-01,7.97,8.03,7.78,7.82,16000,5.546811
2011-06-01,8.01,8.01,7.75,7.93,16200,5.595194
2011-05-02,7.87,8.11,7.79,7.98,12000,5.600501
2011-04-01,7.84,7.89,7.68,7.85,14500,5.480627
2011-03-01,7.81,7.94,7.60,7.79,24200,5.409414
2011-02-01,7.96,7.96,7.65,7.78,21700,5.31323
2011-01-03,7.80,8.67,7.69,7.86,20700,5.367864
2010-12-01,8.17,8.20,7.70,7.80,34600,5.326888
2010-11-01,8.44,8.57,7.92,8.06,55300,5.413295
2010-10-01,7.88,8.50,7.87,8.44,58900,5.668512
2010-09-01,7.81,8.05,7.74,7.83,35100,5.258821
2010-08-02,7.62,7.99,7.39,7.81,24200,5.159507
2010-07-01,7.23,7.70,7.18,7.64,27100,5.0472
2010-06-01,7.14,7.33,7.07,7.20,26900,4.756523
2010-05-03,7.52,7.70,6.81,7.18,39100,4.665231
2010-04-01,7.46,7.68,7.35,7.54,30100,4.899143
2010-03-01,7.38,7.58,7.10,7.43,37300,4.82767
2010-02-01,7.33,7.56,6.81,7.42,25600,4.756632
2010-01-04,7.29,7.48,7.13,7.22,34800,4.628421
2009-12-01,7.40,7.57,7.15,7.29,26000,4.673295
2009-11-02,6.78,7.40,6.78,7.28,33700,4.567852
2009-10-01,7.33,7.53,6.68,6.75,34400,4.235303
2009-09-01,6.70,7.35,6.70,7.29,30300,4.574127
2009-08-03,6.76,6.94,6.20,6.77,29700,4.153455
