Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,24.92,24.940001,24.639999,24.940001,1037600,22.653009
2013-03-01,24.360001,25.379999,24.25,24.93,917900,22.643927
2013-02-01,23.50,24.77,23.190001,24.51,1635300,22.101572
2013-01-02,23.459999,24.08,23.17,23.32,972800,21.028505
2012-12-03,22.83,23.92,22.639999,23.299999,888000,21.010469
2012-11-01,23.459999,23.860001,21.549999,22.709999,920400,20.319628
2012-10-01,23.120001,24.450001,22.709999,23.450001,1387500,20.981741
2012-09-04,23.940001,24.77,22.799999,23.07,1136600,20.641737
2012-08-01,23.549999,24.27,23.15,23.99,904500,21.324791
2012-07-02,23.15,24.49,22.82,23.51,999000,20.898117
2012-06-01,21.02,23.120001,20.82,23.10,1234100,20.533667
2012-05-01,23.280001,23.74,21.049999,21.40,1644400,18.891281
2012-04-02,22.860001,23.74,21.809999,23.24,1460900,20.515577
2012-03-01,21.08,23.040001,21.040001,22.809999,1552700,20.135986
2012-02-01,21.030001,21.629999,20.65,21.07,1605700,18.477758
2012-01-03,18.639999,21.110001,18.280001,20.91,2237800,18.337444
2011-12-01,17.879999,18.870001,17.48,18.24,1313700,15.995934
2011-11-01,19.059999,19.459999,17.049999,17.98,1469200,15.657716
2011-10-03,16.92,19.860001,15.10,19.50,2030600,16.981394
2011-09-01,18.049999,18.360001,16.16,17.10,2366500,14.891376
2011-08-01,20.33,20.41,15.53,18.040001,2770900,15.594909
2011-07-01,19.959999,20.940001,19.219999,20.00,1569000,17.289255
2011-06-01,20.93,21.01,19.030001,19.889999,1434400,17.194162
2011-05-02,20.90,21.08,19.67,21.049999,1669800,18.075001
2011-04-01,18.93,20.98,18.549999,20.809999,1443400,17.868921
2011-03-01,18.73,19.110001,17.440001,18.75,1357100,16.100061
2011-02-01,18.469999,19.309999,17.74,18.75,1754400,16.0151
2011-01-03,16.780001,18.629999,16.700001,18.43,1507200,15.741776
2010-12-01,16.93,17.370001,15.79,16.60,1387700,14.178702
2010-11-01,18.09,18.50,16.15,16.700001,1436000,14.179362
2010-10-01,17.709999,18.799999,17.469999,17.940001,1342000,15.232201
2010-09-01,16.360001,17.74,16.26,17.51,1717100,14.867104
2010-08-02,16.16,16.709999,15.27,16.120001,1543000,13.608695
2010-07-01,14.00,16.02,13.10,15.81,1682500,13.34699
2010-06-01,15.37,16.450001,14.11,14.22,1785500,12.004692
2010-05-03,16.780001,17.27,14.01,15.48,2411000,12.983704
2010-04-01,15.47,17.83,15.33,16.74,1475700,14.040517
2010-03-01,14.07,16.219999,13.83,15.37,1515900,12.891442
2010-02-01,13.82,14.25,12.78,14.09,1531500,11.741953
2010-01-04,14.32,15.08,13.64,13.83,1545800,11.525281
2009-12-01,13.83,15.09,13.32,14.25,1526000,11.875289
2009-11-02,11.76,13.95,11.19,13.72,1975500,11.356566
2009-10-01,12.26,13.28,11.50,11.80,1858700,9.767309
2009-09-01,12.00,14.44,11.33,12.28,2612600,10.164623
2009-08-03,10.28,12.96,10.21,12.11,2425100,9.942742
2009-07-01,9.05,10.34,7.75,10.16,1993900,8.341723
2009-06-01,9.36,10.39,8.20,8.99,1991700,7.381111
2009-05-01,9.61,10.40,8.21,9.30,3258400,7.546743
2009-04-01,7.30,10.79,7.01,9.57,4099200,7.765841
2009-03-02,7.50,9.60,5.97,7.39,3881600,5.99682
2009-02-02,9.13,11.26,7.50,7.52,3122000,6.029231
2009-01-02,12.90,14.25,9.13,9.30,2773600,7.456363
2008-12-01,9.78,14.19,7.50,13.06,3336400,10.470979
2008-11-03,15.00,16.50,7.68,10.20,3620600,8.06094
2008-10-01,22.57,23.08,11.24,15.09,2211400,11.92545
2008-09-02,24.139999,24.73,20.00,23.07,1370300,18.231951
2008-08-01,23.99,25.27,21.99,23.67,1346200,18.55242
2008-07-01,21.74,24.00,19.68,23.530001,1205900,18.442688
2008-06-02,24.43,24.59,21.40,21.969999,1005100,17.219967
2008-05-01,23.77,26.00,23.549999,24.50,920300,19.042944
2008-04-01,22.09,24.450001,21.889999,23.76,913000,18.46777
2008-03-03,21.40,23.139999,19.959999,22.059999,1192700,17.146421
2008-02-01,23.15,23.440001,20.35,21.190001,1161500,16.331848
2008-01-02,22.73,23.629999,20.469999,22.82,1098300,17.588142
2007-12-03,23.889999,25.00,21.889999,22.610001,765100,17.426291
2007-11-01,26.18,26.639999,22.969999,24.01,990600,18.367569
2007-10-01,24.73,28.17,24.559999,26.309999,574600,20.127062
2007-09-04,24.51,25.25,23.280001,24.73,410500,18.918367
2007-08-01,23.059999,25.43,22.549999,24.450001,950700,18.570295
2007-07-02,25.00,26.309999,22.65,23.059999,984800,17.514559
2007-06-01,26.290001,27.299999,24.120001,24.74,1434800,18.790556
2007-05-01,26.01,26.889999,24.950001,26.370001,1157500,19.887472
2007-04-02,25.52,27.209999,25.42,26.049999,566800,19.646137
2007-03-01,27.360001,28.10,22.16,25.530001,760800,19.253969
2007-02-01,27.370001,29.280001,27.00,27.700001,623800,20.746927
2007-01-03,26.59,27.93,25.049999,27.360001,746900,20.492271
2006-12-01,26.35,27.07,25.32,26.59,751100,19.915552
2006-11-01,23.780001,26.799999,22.99,26.299999,1205200,19.606226
2006-10-25,23.57,24.200001,23.50,23.85,2778200,17.779791
