Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,36.630001,36.650002,35.509998,35.66,919800,30.959244
2013-03-01,32.580002,36.73,31.83,36.630001,565700,31.801378
2013-02-01,33.869999,35.23,31.190001,32.939999,620500,28.597797
2013-01-02,31.370001,33.810001,30.74,33.619999,463600,29.18816
2012-12-03,28.93,30.870001,27.360001,30.41,389200,26.401308
2012-11-01,28.67,30.530001,26.09,28.709999,395600,24.925404
2012-10-01,28.23,31.49,28.10,28.530001,460900,24.769133
2012-09-04,26.98,32.380001,26.440001,29.379999,507800,25.507084
2012-08-01,25.98,29.120001,24.559999,27.09,481600,23.518955
2012-07-02,25.91,28.530001,24.49,26.129999,703600,22.685503
2012-06-01,27.360001,28.75,23.73,25.940001,716800,22.52055
2012-05-01,31.91,33.669998,26.93,28.459999,928400,24.708359
2012-04-02,28.92,30.469999,26.59,29.440001,805300,25.559175
2012-03-01,30.99,31.290001,27.700001,29.08,735300,25.24663
2012-02-01,31.360001,34.889999,29.77,30.969999,1050700,26.887487
2012-01-03,25.93,32.200001,25.75,30.860001,829100,26.791988
2011-12-01,26.34,27.690001,23.09,25.01,758100,21.713144
2011-11-01,22.959999,28.65,21.42,26.50,1412900,23.006729
2011-10-03,23.09,31.02,20.870001,28.040001,1197200,24.343725
2011-09-01,30.059999,30.40,20.209999,23.35,1240300,20.271969
2011-08-01,40.57,40.75,25.299999,30.15,1679100,26.175581
2011-07-01,42.68,45.200001,39.290001,39.77,1324700,34.527458
2011-06-01,41.75,42.889999,35.75,42.580002,853200,36.967041
2011-05-02,48.84,49.32,38.720001,41.75,849100,36.246452
2011-04-01,43.740002,48.959999,43.02,48.50,712400,42.106655
2011-03-01,43.549999,44.75,38.68,43.299999,619300,37.592129
2011-02-01,37.490002,45.650002,37.470001,43.419998,1258500,37.696308
2011-01-03,35.450001,39.130001,33.119999,37.009998,827200,32.131283
2010-12-01,33.50,35.93,33.459999,35.09,563400,30.464384
2010-11-01,27.889999,32.990002,27.49,32.790001,820300,28.467573
2010-10-01,27.42,29.40,24.139999,27.940001,975900,24.256907
2010-09-01,22.66,27.83,22.66,27.120001,777200,23.545002
2010-08-02,27.32,28.639999,21.68,22.25,1004700,19.316971
2010-07-01,26.57,27.780001,25.139999,26.540001,806100,23.041458
2010-06-01,30.629999,31.389999,26.58,26.65,813900,23.136957
2010-05-03,28.75,34.330002,25.540001,31.16,1734200,27.052441
2010-04-01,27.110001,31.76,27.110001,28.57,1188800,24.80386
2010-03-01,24.57,28.959999,24.43,27.00,1135900,23.440819
2010-02-01,29.440001,30.50,22.77,24.43,1961300,21.2096
2010-01-04,29.870001,33.450001,29.059999,29.10,1238700,25.263994
2009-12-01,29.700001,32.349998,27.889999,29.42,1134200,25.541811
2009-11-02,31.309999,34.389999,29.16,29.360001,979100,25.489721
2009-10-01,39.18,40.68,21.25,31.139999,1372900,27.035078
2009-09-01,35.34,40.98,33.439999,39.150002,956700,33.989189
2009-08-03,39.349998,42.73,32.790001,35.279999,1283200,30.629335
2009-07-01,38.189999,42.720001,32.130001,38.77,994100,33.659279
2009-06-01,38.84,41.689999,32.490002,37.580002,1340100,32.626148
2009-05-01,31.700001,38.959999,31.200001,38.240002,1977700,33.199146
2009-04-01,19.74,27.620001,18.93,27.139999,1281600,23.562363
2009-03-02,15.01,21.92,12.77,19.82,1292500,17.207298
2009-02-02,16.370001,20.85,14.88,15.43,1447400,13.395994
2009-01-02,17.860001,23.530001,15.39,16.459999,1652300,14.290217
2008-12-01,16.040001,19.959999,13.69,17.690001,1487000,15.358078
2008-11-03,17.629999,18.34,6.73,16.51,2300800,14.333627
2008-10-01,34.939999,35.07,12.75,17.08,2625000,14.828488
2008-09-02,49.509998,50.09,30.50,35.630001,1655700,30.933201
2008-08-01,58.18,59.139999,48.779999,49.220001,980300,42.731747
2008-07-01,59.59,63.950001,53.490002,57.630001,1268000,50.033127
2008-06-02,70.120003,70.529999,58.09,60.849998,730700,52.828659
2008-05-01,66.379997,75.00,65.360001,70.800003,801600,61.467041
2008-04-01,59.310001,73.709999,59.310001,67.00,1062800,58.167957
2008-03-03,61.610001,63.630001,51.790001,59.07,827300,51.283302
2008-02-01,59.080002,67.239998,53.549999,61.720001,1074700,53.583977
2008-01-02,72.68,73.93,47.880001,58.259998,1549100,50.580078
2007-12-03,75.230003,83.50,69.470001,73.279999,913100,63.620117
2007-11-01,66.800003,76.82,62.16,74.379997,1408000,64.575111
2007-10-01,67.68,77.940002,67.080002,71.989998,1272200,62.500168
2007-09-04,58.389999,70.370003,52.169998,67.120003,1886800,58.272144
2007-08-01,69.309998,70.400002,48.16,58.18,2306000,50.510624
2007-07-02,76.00,84.949997,72.610001,79.50,935300,69.020187
2007-06-01,68.599998,79.230003,64.57,75.75,1406100,65.764519
