Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,3.20,3.22,3.19,3.21,1751000,9.702176
2013-03-01,3.01,3.34,3.01,3.19,2300600,9.641726
2013-02-01,3.06,3.14,2.85,2.98,2226800,8.759862
2013-01-02,2.68,3.09,2.59,3.05,3048300,8.965631
2012-12-03,2.75,2.80,2.55,2.61,2250100,7.672228
2012-11-01,2.65,2.78,2.49,2.74,2454300,7.784893
2012-10-01,2.70,2.76,2.53,2.67,1219700,7.586009
2012-09-04,2.54,2.85,2.51,2.71,2398100,7.699657
2012-08-01,2.18,2.55,2.14,2.54,2265100,6.985513
2012-07-02,2.37,2.46,1.81,2.16,2695600,5.940437
2012-06-01,2.78,2.92,2.27,2.36,2414600,6.490477
2012-05-01,2.91,2.94,2.72,2.80,1477100,7.425546
2012-04-02,2.83,2.93,2.72,2.89,1163500,7.664225
2012-03-01,2.93,3.06,2.79,2.83,2756500,7.505105
2012-02-01,3.05,3.16,2.87,3.07,1781800,7.842059
2012-01-03,2.55,3.06,2.55,3.04,2071500,7.765426
2011-12-01,2.64,2.76,2.51,2.51,2055200,6.411585
2011-11-01,2.96,2.98,2.51,2.67,3183900,6.546484
2011-10-03,2.79,3.05,2.38,3.01,2587200,7.380119
2011-09-01,3.04,3.07,2.77,2.77,2397700,6.791671
2011-08-01,3.20,3.30,2.80,3.03,3758900,7.107225
2011-07-01,3.47,3.55,2.62,3.08,3530100,7.224506
2011-06-01,3.92,3.94,3.36,3.46,4615600,8.115842
2011-05-02,4.06,4.07,3.82,3.91,2321500,8.833614
2011-04-01,3.97,4.06,3.80,4.05,3108000,9.149908
2011-03-01,4.34,4.34,3.95,3.96,3485000,8.946577
2011-02-01,4.22,4.34,4.12,4.31,3680800,9.410398
2011-01-03,4.13,4.24,4.03,4.20,3242200,9.170225
2010-12-01,4.05,4.30,4.02,4.11,2957300,8.97372
2010-11-01,4.14,4.14,3.82,4.00,4965400,8.384206
2010-10-01,3.96,4.36,3.95,4.10,2774100,8.593811
2010-09-01,3.96,4.18,3.92,3.95,3277200,8.279404
2010-08-02,3.90,3.97,3.83,3.93,1769100,7.880194
2010-07-01,3.62,3.93,3.51,3.87,2738200,7.759886
2010-06-01,3.94,4.15,3.60,3.61,3754700,7.238549
2010-05-03,4.13,4.21,3.50,3.94,3875900,7.566985
2010-04-01,3.79,4.23,3.74,4.07,3840000,7.816657
2010-03-01,4.09,4.14,3.88,3.89,1768600,7.470957
2010-02-01,3.92,4.13,3.53,4.00,2132600,7.360548
2010-01-04,3.91,4.15,3.88,3.92,1182900,7.213337
2009-12-01,4.08,4.19,3.77,3.88,1324800,7.139732
2009-11-02,3.54,4.09,3.49,4.03,1818300,7.109762
2009-10-01,3.81,4.09,3.49,3.49,1712100,6.15709
2009-09-01,3.76,4.36,3.64,3.82,1932300,6.739278
2009-08-03,3.56,4.05,3.47,3.80,1723200,6.499292
2009-07-01,3.50,3.82,3.15,3.58,1795900,6.123017
2009-06-01,3.56,3.60,3.00,3.49,2281300,5.969087
2009-05-01,3.53,3.91,3.04,3.49,3037200,5.969087
2009-04-01,3.27,3.77,2.95,3.53,1798700,5.895022
2009-03-02,2.89,3.58,2.35,3.36,258900,5.513541
2009-02-02,3.24,3.50,2.67,2.99,187400,4.906395
2009-01-02,3.45,3.77,2.92,3.30,156100,5.415085
2008-12-01,2.85,3.80,2.40,3.45,296400,5.661226
2008-11-03,2.80,4.83,1.53,2.98,254400,4.827693
2008-10-01,6.05,6.30,2.25,2.88,367400,4.66569
2008-09-02,6.52,8.52,4.56,6.21,121100,10.060394
2008-08-01,7.65,7.95,5.56,6.35,69900,10.012874
2008-07-01,8.900001,9.150001,4.26,7.69,113000,12.125827
2008-06-02,13.79,14.05,8.87,9.01,120800,14.207242
2008-05-01,13.830001,14.339999,11.62,13.860001,87600,21.569887
2008-04-01,12.35,13.889999,10.59,13.87,94600,21.585447
2008-03-03,16.550001,16.68,11.10,12.30,211900,19.142107
2008-02-01,19.190001,19.280001,16.52,16.57,68200,25.263977
2008-01-02,18.130001,19.789999,16.99,18.950001,109300,28.892719
2007-12-03,15.210001,17.880001,14.780001,17.880001,101100,27.261311
2007-11-29,14.79,15.510001,14.50,15.510001,277500,23.614033
