Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.75,15.79,15.50,15.72,1572400,14.367705
2013-03-01,14.63,16.030001,14.50,15.80,1373300,14.440823
2013-02-01,15.28,15.61,14.14,14.74,2180700,13.378922
2013-01-02,14.87,15.38,14.08,15.25,1533300,13.841829
2012-12-03,14.09,14.74,13.85,14.57,879900,13.22462
2012-11-01,13.17,13.83,12.59,13.80,1107600,12.431155
2012-10-01,12.92,13.34,12.52,13.12,1173700,11.818605
2012-09-04,12.97,13.62,12.75,12.87,1715400,11.593403
2012-08-01,12.07,13.05,11.66,12.90,1323300,11.548474
2012-07-02,11.53,12.28,11.53,11.99,842400,10.733814
2012-06-01,11.11,11.67,10.72,11.67,1423900,10.447341
2012-05-01,12.60,12.93,11.16,11.31,879100,10.052801
2012-04-02,11.90,12.58,11.36,12.56,1171100,11.163854
2012-03-01,11.27,12.18,11.10,11.90,1099000,10.508028
2012-02-01,11.43,11.92,10.85,11.28,1490900,9.960551
2012-01-03,10.76,11.49,10.14,11.38,828900,10.048854
2011-12-01,9.94,10.77,9.73,10.64,1019300,9.324772
2011-11-01,9.43,10.03,9.03,9.97,1159200,8.737592
2011-10-03,8.41,9.96,7.64,9.81,1712800,8.59737
2011-09-01,10.74,10.83,8.33,8.53,1220200,7.411542
2011-08-01,10.76,10.85,8.50,10.74,1385600,9.331765
2011-07-01,10.54,11.29,10.29,10.65,869900,9.253567
2011-06-01,11.21,11.30,9.84,10.52,1062800,9.081258
2011-05-02,11.43,11.48,10.59,11.27,746400,9.728685
2011-04-01,10.59,11.45,9.99,11.36,808400,9.806376
2011-03-01,10.31,10.63,9.77,10.52,944600,9.020309
2011-02-01,9.70,10.29,9.55,10.25,895100,8.788799
2011-01-03,9.61,9.79,9.13,9.66,1036400,8.282907
2010-12-01,8.44,9.62,8.28,9.53,831900,8.110394
2010-11-01,8.67,9.34,8.06,8.27,586600,7.038086
2010-10-01,8.45,8.87,8.10,8.61,673000,7.327439
2010-09-01,8.17,8.87,8.09,8.35,933100,7.08474
2010-08-02,8.20,8.41,7.45,8.00,815800,6.787774
2010-07-01,7.43,8.42,6.77,8.07,719200,6.847167
2010-06-01,8.16,8.74,7.34,7.46,819000,6.308501
2010-05-03,8.65,9.42,7.46,8.22,1080600,6.95119
2010-04-01,7.24,8.79,7.16,8.62,934000,7.289447
2010-03-01,6.52,7.74,6.44,7.20,968700,6.067638
2010-02-01,6.94,7.12,6.14,6.51,646100,5.486156
2010-01-04,7.47,7.72,6.67,6.92,599900,5.831674
2009-12-01,6.62,7.83,6.55,7.32,854000,6.147376
2009-11-02,5.73,6.58,5.41,6.51,735400,5.467134
2009-10-01,6.14,6.84,5.65,5.70,1042700,4.786891
2009-09-01,6.38,7.25,5.66,6.25,1129500,5.228054
2009-08-03,4.93,6.78,4.82,6.47,2156700,5.412082
2009-07-01,4.97,5.14,3.87,4.85,395100,4.05697
2009-06-01,3.09,5.04,3.09,4.90,638600,4.078584
2009-05-01,3.44,4.11,3.00,3.01,396200,2.505415
2009-04-01,1.98,3.55,1.86,3.43,488300,2.855008
2009-03-02,2.45,2.50,1.34,2.02,838500,1.662004
2009-02-02,3.68,4.08,2.01,2.50,599600,2.056936
2009-01-02,4.40,5.30,3.61,3.75,677400,3.085404
2008-12-01,5.35,5.35,3.18,4.45,810500,3.640448
2008-11-03,6.80,7.05,3.53,5.50,579100,4.499431
2008-10-01,12.10,12.30,4.88,6.86,915500,5.612017
2008-09-02,12.77,13.20,10.71,12.27,391900,9.874604
2008-08-01,11.72,12.57,10.86,12.50,354700,10.059702
2008-07-01,11.84,12.66,10.90,11.65,530700,9.375643
2008-06-02,12.68,13.38,11.60,11.95,454500,9.47306
2008-05-01,12.10,13.46,11.45,12.71,650600,10.075531
2008-04-01,11.55,12.43,10.89,12.07,472300,9.568187
2008-03-03,10.00,11.58,9.83,11.33,666100,8.83888
2008-02-01,9.54,10.36,8.40,10.03,493000,7.82471
2008-01-02,9.17,9.56,7.56,9.50,782200,7.411241
2007-12-03,9.99,10.56,8.96,9.16,1079000,7.004957
2007-11-01,12.89,12.89,9.53,10.05,1036100,7.68557
2007-10-01,13.20,14.40,12.75,12.90,351500,9.86506
2007-09-04,13.46,14.58,12.61,13.20,505400,9.885379
2007-08-01,14.27,14.89,11.68,13.56,1057400,10.154981
2007-07-02,16.799999,16.870001,13.89,14.31,500400,10.71665
2007-06-01,18.450001,18.799999,15.50,16.389999,665900,12.059526
2007-05-01,18.450001,19.200001,17.049999,18.33,513300,13.486951
2007-04-02,20.110001,20.27,18.280001,18.41,388500,13.545814
2007-03-01,21.15,21.690001,19.32,20.120001,409400,14.588704
2007-02-01,22.07,23.610001,20.75,21.60,471500,15.661829
2007-01-03,20.73,22.370001,20.48,21.969999,331400,15.93011
2006-12-01,21.82,22.440001,20.209999,20.549999,260600,14.691637
2006-11-01,21.92,22.00,20.25,21.879999,275200,15.642483
2006-10-02,21.549999,22.85,20.75,21.959999,300800,15.699677
2006-09-01,19.969999,22.15,19.59,21.459999,428700,15.139333
2006-08-01,18.959999,20.60,18.690001,19.92,382400,14.052913
2006-07-03,19.040001,19.34,18.35,19.059999,410300,13.446211
2006-06-01,16.120001,19.110001,16.10,18.860001,764500,13.101397
2006-05-01,18.379999,18.40,15.90,16.049999,411900,11.149384
2006-04-03,20.35,20.35,17.200001,18.280001,614700,12.69849
2006-03-01,22.17,22.24,19.48,20.15,516000,13.791982
2006-02-01,21.40,22.389999,20.76,22.27,192000,15.243049
2006-01-03,21.08,22.00,20.40,21.379999,228600,14.633874
2005-12-01,21.17,21.93,19.950001,21.049999,235000,14.21393
2005-11-01,20.700001,21.48,19.90,21.219999,231400,14.328722
2005-10-03,20.24,20.98,19.040001,20.860001,635400,14.085634
2005-09-01,20.559999,22.129999,19.07,20.27,144600,13.502899
2005-08-01,20.190001,21.549999,19.299999,20.559999,194600,13.696082
2005-07-01,19.10,20.309999,18.82,20.15,215100,13.42296
2005-06-01,18.85,19.99,18.43,19.049999,228100,12.690193
2005-05-02,17.450001,18.98,17.25,18.90,189300,12.59027
2005-04-01,17.469999,17.50,16.639999,17.48,151300,11.644335
2005-03-01,16.50,17.58,16.40,17.40,150400,11.402789
2005-02-01,16.389999,16.959999,16.299999,16.43,162500,10.767118
2005-01-03,17.280001,17.450001,15.90,16.40,142100,10.747457
2004-12-01,17.049999,17.50,16.40,17.35,272400,11.232763
2004-11-01,16.799999,17.77,16.549999,17.059999,307800,11.04501
2004-10-22,17.00,17.10,16.40,16.709999,1396100,10.818413
