Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,7.83,7.94,7.78,7.83,548600,5.536841
2013-03-01,7.91,8.13,7.65,7.82,196400,5.52977
2013-02-01,8.07,8.10,7.66,7.93,210000,5.461994
2013-01-02,7.70,8.11,7.66,8.02,225700,5.523984
2012-12-03,7.69,7.78,7.44,7.57,241400,5.214035
2012-11-01,8.04,8.30,6.89,7.68,279800,5.146463
2012-10-01,8.60,8.69,7.98,7.98,194000,5.347497
2012-09-04,8.51,8.93,8.30,8.48,282300,5.682553
2012-08-01,8.01,8.53,7.92,8.53,221500,5.535822
2012-07-02,7.94,8.07,7.68,7.97,210000,5.172392
2012-06-01,7.87,8.17,7.53,7.87,262500,5.107494
2012-05-01,8.31,8.37,7.83,7.89,227400,4.942812
2012-04-02,8.58,8.73,8.05,8.31,172500,5.205927
2012-03-01,8.91,9.33,8.34,8.52,295900,5.337485
2012-02-01,8.25,8.95,8.25,8.86,257700,5.382649
2012-01-03,7.78,8.27,7.44,8.21,236100,4.98776
2011-12-01,7.95,8.10,7.34,7.59,250000,4.611096
2011-11-01,8.05,8.30,7.57,7.97,186900,4.67312
2011-10-03,8.07,8.69,7.45,8.32,181800,4.878338
2011-09-01,9.20,9.29,7.81,7.98,198800,4.678983
2011-08-01,9.48,9.52,7.54,9.19,276400,5.217391
2011-07-01,10.02,10.24,8.81,9.27,185000,5.262809
2011-06-01,10.32,10.46,9.47,10.01,164700,5.682925
2011-05-02,10.23,10.47,9.97,10.37,157200,5.723608
2011-04-01,9.80,10.20,9.75,10.19,162300,5.624259
2011-03-01,9.98,10.31,9.03,9.81,213500,5.414522
2011-02-01,9.74,10.04,9.74,10.00,190700,5.364537
2011-01-03,9.60,9.97,9.51,9.76,178000,5.235788
2010-12-01,10.32,10.73,9.33,9.55,217900,5.123133
2010-11-01,10.45,10.68,9.63,10.11,173000,5.273042
2010-10-01,9.97,10.48,9.76,10.39,182200,5.419081
2010-09-01,9.71,10.07,9.62,9.97,174000,5.200023
2010-08-02,9.54,9.88,9.29,9.63,148700,4.88149
2010-07-01,8.92,9.57,8.56,9.50,179500,4.815593
2010-06-01,8.97,9.34,8.70,8.92,159500,4.521588
2010-05-03,10.66,10.77,8.05,9.14,210800,4.492558
2010-04-01,10.55,10.99,10.31,10.65,139200,5.234763
2010-03-01,10.42,10.76,10.10,10.38,171600,5.102051
2010-02-01,10.36,10.47,9.23,10.31,167200,4.932507
2010-01-04,10.38,10.74,10.01,10.20,174100,4.879881
2009-12-01,10.30,10.70,9.92,10.24,175900,4.899017
2009-11-02,9.97,10.46,9.62,10.25,128500,4.774268
2009-10-01,10.13,10.67,9.51,9.89,178000,4.606586
2009-09-01,10.03,10.50,9.58,10.20,157900,4.750978
2009-08-03,9.57,10.16,9.20,9.99,148400,4.527766
2009-07-01,9.24,9.60,8.86,9.54,164500,4.323812
2009-06-01,10.93,11.34,8.67,9.08,277100,4.115327
2009-05-01,8.91,10.75,8.91,10.65,206100,4.609665
2009-04-01,8.62,9.55,8.03,8.97,171600,3.882507
2009-03-02,8.04,8.35,7.00,8.06,165100,3.48863
2009-02-02,9.48,9.94,7.48,8.32,178400,3.372084
2009-01-02,9.73,10.46,8.91,9.53,157000,3.862495
2008-12-01,9.26,10.20,7.95,9.54,191700,3.866549
2008-11-03,10.98,11.00,7.50,9.45,155900,3.625255
2008-10-01,11.12,11.56,6.31,10.99,239500,4.216037
2008-09-02,14.18,14.25,9.17,10.63,235300,4.077932
2008-08-01,14.44,14.54,13.17,13.94,130300,5.130166
2008-07-01,15.70,15.70,13.12,14.33,162800,5.273693
2008-06-02,17.15,17.83,15.07,15.14,115100,5.571788
2008-05-01,16.50,17.219999,16.459999,17.17,116200,6.135708
2008-04-01,16.040001,17.030001,15.54,16.49,109900,5.89271
2008-03-03,17.34,17.42,14.88,15.48,103900,5.531785
2008-02-01,17.85,18.200001,16.440001,17.17,106200,5.952004
2008-01-02,17.58,18.469999,14.45,17.700001,164600,6.13573
2007-12-03,17.82,18.59,15.76,17.459999,328300,6.052533
2007-11-01,17.200001,18.530001,16.41,17.959999,220500,6.053397
2007-10-01,18.389999,19.25,16.92,17.290001,161000,5.827575
2007-09-04,18.25,18.620001,17.26,18.25,146200,5.991039
2007-08-01,18.799999,19.18,14.31,18.01,150900,5.912252
2007-07-02,20.309999,20.549999,17.16,18.75,142300,6.155177
2007-06-01,20.190001,21.00,19.620001,20.25,153200,6.484899
2007-05-01,20.07,20.25,20.00,20.200001,155900,6.468887
2007-04-02,20.01,20.530001,20.00,20.08,121000,6.430458
2007-03-28,20.00,20.10,19.00,20.00,423400,6.404839
