Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,30.450001,30.48,30.059999,30.139999,358600,26.312496
2013-03-01,29.26,30.67,28.50,30.49,332900,26.61805
2013-02-01,31.879999,33.139999,28.42,29.40,430400,25.42025
2013-01-02,28.82,32.50,28.809999,31.700001,296200,27.408909
2012-12-03,29.18,29.92,27.52,28.309999,351800,24.477798
2012-11-01,30.35,30.950001,26.83,29.18,370200,24.974022
2012-10-01,30.35,31.99,27.90,30.27,789700,25.906912
2012-09-04,29.379999,32.84,29.26,30.309999,368400,25.941145
2012-08-01,28.17,29.98,27.76,29.27,288600,24.838419
2012-07-02,26.610001,28.75,24.690001,28.00,512100,23.7607
2012-06-01,23.83,27.540001,23.059999,26.60,614400,22.572666
2012-05-01,22.309999,24.32,21.370001,24.08,436200,20.227642
2012-04-02,22.440001,23.16,20.99,22.24,367100,18.682009
2012-03-01,23.440001,23.440001,22.07,22.51,295800,18.908813
2012-02-01,22.76,24.00,22.10,23.280001,399200,19.328432
2012-01-03,24.42,24.60,22.35,22.66,357700,18.813671
2011-12-01,22.18,24.639999,22.01,24.07,411600,19.984337
2011-11-01,20.549999,22.76,20.389999,22.190001,428200,18.250214
2011-10-03,16.57,21.83,15.29,21.219999,542400,17.452435
2011-09-01,18.26,18.49,16.200001,16.68,330100,13.718502
2011-08-01,19.24,19.299999,15.67,18.209999,578100,14.797846
2011-07-01,20.68,21.309999,17.75,18.790001,488900,15.269168
2011-06-01,18.549999,21.290001,17.26,20.620001,537400,16.756266
2011-05-02,18.08,18.709999,17.309999,18.540001,360400,14.916562
2011-04-01,18.77,19.219999,16.709999,18.08,415100,14.546463
2011-03-01,15.07,19.60,14.83,18.77,813400,15.101611
2011-02-01,13.54,15.02,13.45,15.00,731700,11.936692
2011-01-03,13.75,14.20,13.23,13.43,283600,10.687319
2010-12-01,12.90,13.87,12.82,13.73,272300,10.926052
2010-11-01,12.32,13.00,12.15,12.78,276700,10.04423
2010-10-01,11.02,12.62,10.67,12.25,268500,9.627687
2010-09-01,10.82,11.50,10.73,10.92,196500,8.582395
2010-08-02,11.57,11.57,10.50,10.68,273300,8.267157
2010-07-01,10.72,11.47,10.25,11.47,241600,8.878678
2010-06-01,10.57,11.59,10.44,10.78,276800,8.344564
2010-05-03,10.40,11.22,5.00,10.60,319700,8.084146
2010-04-01,10.49,10.64,9.94,10.33,271800,7.878229
2010-03-01,9.31,10.60,9.01,10.48,398700,7.992627
2010-02-01,9.00,9.73,8.56,9.31,226200,6.978765
2010-01-04,9.13,9.95,8.83,8.98,265100,6.731396
2009-12-01,8.55,9.77,8.30,9.18,325600,6.881317
2009-11-02,7.86,8.75,7.56,8.56,329900,6.304916
2009-10-01,8.14,8.19,7.58,7.81,309300,5.752499
2009-09-01,9.14,10.23,7.95,8.19,917600,6.03239
2009-08-03,8.38,9.90,8.03,9.12,115000,6.581115
2009-07-01,8.47,8.60,7.38,8.35,96200,6.025473
2009-06-01,7.45,8.60,7.31,8.41,107300,6.068769
2009-05-01,6.19,7.70,5.61,7.25,170500,5.124543
2009-04-01,5.09,6.60,4.89,6.12,106000,4.325821
2009-03-02,3.80,5.37,3.80,5.20,162100,3.675534
2009-02-02,4.70,5.04,3.51,3.80,119100,2.600937
2009-01-02,5.44,5.62,4.25,4.64,99700,3.17588
2008-12-01,5.40,5.88,4.78,5.40,145500,3.696068
2008-11-03,3.79,5.51,3.63,5.38,214200,3.56856
2008-10-01,7.22,7.26,2.54,3.73,304700,2.474113
2008-09-02,8.19,8.52,6.54,7.15,135100,4.742602
2008-08-01,8.93,8.93,8.00,8.06,118700,5.200526
2008-07-01,9.20,10.49,8.51,8.90,181400,5.742516
2008-06-02,9.78,9.99,8.95,9.34,190900,6.026416
2008-05-01,8.55,9.92,8.55,9.72,204800,6.129249
2008-04-01,11.04,11.21,7.96,8.08,120300,5.095096
2008-03-03,9.90,11.80,9.29,11.00,118500,6.936393
2008-02-01,9.93,10.15,9.00,9.94,54000,6.154208
2008-01-02,10.21,10.54,9.05,9.92,63400,6.141825
2007-12-03,10.75,10.99,9.72,10.21,109200,6.321375
2007-11-01,11.88,12.23,9.88,10.69,103100,6.484031
2007-10-01,12.85,13.10,11.61,11.96,93600,7.254351
2007-09-04,12.85,13.50,12.50,12.80,63800,7.763855
2007-08-01,13.36,13.83,11.90,12.79,157900,7.63357
2007-07-02,13.20,14.06,13.09,13.31,172600,7.943927
2007-06-01,13.65,13.94,12.90,13.20,255500,7.878274
2007-05-23,13.50,14.05,13.02,13.52,1459400,7.9416
