Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,10.73,10.81,10.62,10.70,866000,7.129146
2013-03-01,10.81,11.06,10.58,10.68,519100,7.115821
2013-02-01,10.14,10.88,9.90,10.83,383600,7.024484
2013-01-02,9.55,10.14,9.53,10.11,380500,6.557482
2012-12-03,9.80,9.95,9.20,9.44,378800,6.122911
2012-11-01,10.07,10.09,8.66,9.80,459800,6.16735
2012-10-01,10.78,10.90,9.23,9.92,681100,6.242869
2012-09-04,10.45,10.98,10.43,10.75,483800,6.584384
2012-08-01,10.40,10.47,10.00,10.45,292600,6.400634
2012-07-02,10.41,10.54,9.92,10.39,507000,6.363884
2012-06-01,9.26,10.49,9.15,10.38,534800,6.182664
2012-05-01,9.40,9.59,9.08,9.29,447600,5.533425
2012-04-02,9.55,9.63,8.94,9.43,418700,5.616814
2012-03-01,9.53,9.63,9.20,9.55,472900,5.522726
2012-02-01,9.30,9.64,9.04,9.51,707800,5.499594
2012-01-03,9.25,9.60,9.05,9.26,579500,5.35502
2011-12-01,8.87,9.65,8.80,9.13,240400,5.279841
2011-11-01,8.50,8.90,8.35,8.90,313200,4.996717
2011-10-03,8.03,8.98,7.25,8.76,288900,4.918118
2011-09-01,9.15,9.15,8.06,8.06,323200,4.525117
2011-08-01,9.22,9.48,8.30,9.18,416300,4.990589
2011-07-01,9.71,9.87,9.01,9.10,279900,4.947098
2011-06-01,9.87,9.98,9.50,9.68,370100,5.262408
2011-05-02,9.95,9.96,9.52,9.92,310300,5.246981
2011-04-01,10.06,10.14,9.31,9.88,538900,5.225824
2011-03-01,10.59,10.81,9.93,10.06,804200,5.321031
2011-02-01,10.70,10.75,10.39,10.57,171400,5.443371
2011-01-03,10.98,10.98,10.54,10.68,203000,5.50002
2010-12-01,10.60,11.00,10.42,10.92,324100,5.623616
2010-11-01,10.67,10.82,10.49,10.50,132600,5.273748
2010-10-01,10.75,10.76,10.48,10.60,170300,5.323974
2010-09-01,10.22,10.92,10.09,10.78,192200,5.414381
2010-08-02,9.81,10.21,9.64,10.05,155600,4.93185
2010-07-01,9.21,9.77,9.04,9.70,274100,4.760094
2010-06-01,9.43,9.85,8.96,9.23,80200,4.52945
2010-05-03,9.31,9.42,8.70,9.42,91600,4.512511
2010-04-01,9.02,9.49,8.95,9.27,82300,4.440656
2010-03-01,8.90,9.36,8.80,9.00,118700,4.311316
2010-02-01,9.07,9.13,8.57,8.82,81200,4.119463
2010-01-04,8.78,9.16,8.74,9.05,70300,4.226887
2009-12-01,8.14,9.33,8.00,8.73,111700,4.077427
2009-11-02,8.17,8.30,7.80,8.07,55000,3.671433
2009-10-01,8.39,8.71,8.07,8.11,36100,3.689631
2009-09-01,8.29,8.73,8.20,8.43,45500,3.835215
2009-08-03,8.55,8.92,8.20,8.28,38700,3.667614
2009-07-01,8.27,8.59,7.82,8.46,36900,3.747345
2009-06-01,8.20,8.70,7.90,8.20,99000,3.632179
2009-05-01,7.09,8.17,6.98,8.16,58100,3.516079
2009-04-01,6.78,7.24,6.75,7.05,59400,3.037789
2009-03-02,6.74,7.47,6.30,7.02,29800,3.024862
2009-02-02,7.15,7.21,6.30,6.30,36500,2.629557
2009-01-02,7.06,7.28,6.63,7.07,25100,2.950947
2008-12-01,6.49,7.53,6.03,6.54,37300,2.72973
2008-11-03,6.92,7.01,5.79,6.51,16400,2.627801
2008-10-01,7.89,8.00,6.01,6.95,29400,2.80541
2008-09-02,7.92,8.66,6.52,7.85,24400,3.1687
2008-08-01,8.33,8.37,7.85,7.94,36500,3.205029
2008-07-01,8.62,9.23,7.22,8.36,13300,3.279565
2008-06-02,8.77,8.99,8.50,8.80,4700,3.452173
2008-05-01,8.88,9.04,8.60,8.73,7600,3.424713
2008-04-01,9.53,9.99,8.65,8.90,17200,3.433083
2008-03-03,9.78,9.80,8.60,9.55,17900,3.683814
2008-02-01,8.77,9.90,8.63,9.75,25200,3.760962
2008-01-02,8.89,9.04,8.23,8.59,16500,3.277052
