Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,60.099998,60.900002,59.84,60.689999,9976000,25.645607
2013-03-01,56.52,60.34,55.310001,60.290001,5110200,25.476582
2013-02-01,56.509998,57.689999,54.299999,56.669998,7211900,23.946886
2013-01-02,51.049999,56.830002,51.009998,56.669998,5355600,23.946886
2012-12-03,51.82,52.200001,48.66,50.080002,7149200,20.914923
2012-11-01,52.50,53.580002,48.52,51.830002,6399400,21.645775
2012-10-01,53.610001,55.380001,52.169998,52.709999,4293800,22.013288
2012-09-04,53.880001,54.880001,52.25,53.599998,6386700,22.112555
2012-08-01,53.110001,53.98,52.049999,53.400002,3080100,22.030046
2012-07-02,51.259998,54.98,50.779999,53.00,4164600,21.865026
2012-06-01,48.150002,51.32,45.669998,51.240002,5279600,20.889904
2012-05-01,51.490002,52.939999,48.00,48.759998,4520900,19.878838
2012-04-02,50.639999,52.400002,48.52,51.540001,4081100,21.012211
2012-03-01,52.200001,52.50,49.259998,50.470001,4773600,20.326
2012-02-01,49.02,52.950001,48.75,51.880001,5426500,20.893854
2012-01-03,46.91,49.860001,45.779999,48.299999,6819000,19.452065
2011-12-01,45.490002,46.700001,44.52,46.380001,7427600,18.445473
2011-11-01,43.669998,46.110001,43.669998,45.490002,4593700,18.091516
2011-10-03,40.00,45.540001,38.009998,44.830002,5884300,17.829033
2011-09-01,42.220001,43.240002,39.77,40.150002,5570400,15.751991
2011-08-01,42.59,43.450001,36.360001,42.150002,7816600,16.536648
2011-07-01,43.32,43.950001,40.75,41.59,4046500,16.316944
2011-06-01,41.639999,43.330002,40.00,43.209999,4531300,16.713219
2011-05-02,43.23,43.259998,38.669998,41.639999,5980200,16.105959
2011-04-01,43.310001,43.950001,41.939999,43.27,5016200,16.736427
2011-03-01,43.990002,43.990002,36.00,43.060001,6795900,16.42786
2011-02-01,43.709999,44.349998,42.32,43.599998,6564700,16.633875
2011-01-03,41.900002,43.84,41.41,43.560001,5233100,16.618616
2010-12-01,41.139999,41.900002,39.259998,41.610001,7625800,15.66088
2010-11-01,42.900002,44.32,41.700001,42.080002,4485000,15.837776
2010-10-01,39.689999,42.990002,39.689999,42.849998,4722500,16.127583
2010-09-01,37.290001,39.689999,37.290001,39.669998,5185900,14.726527
2010-08-02,38.07,38.470001,35.349998,36.970001,4330000,13.724218
2010-07-01,35.099998,39.290001,34.209999,37.790001,6585600,14.028624
2010-06-01,33.490002,35.98,32.279999,35.369999,5229700,12.929086
2010-05-03,35.389999,35.66,29.049999,33.599998,10110100,12.282084
2010-04-01,34.900002,36.73,34.790001,35.459999,8485500,12.961985
2010-03-01,32.82,34.689999,32.290001,34.580002,4883800,12.441374
2010-02-01,31.09,32.77,29.440001,32.759998,5183400,11.786564
2010-01-04,31.66,33.400002,30.59,30.67,6917900,11.034613
