Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,51.799999,52.419998,51.049999,51.880001,745600,35.46376
2013-03-01,55.639999,62.50,50.509998,51.619999,546300,35.286034
2013-02-01,54.290001,57.299999,52.540001,56.18,388400,38.403126
2013-01-02,50.029999,59.27,46.290001,58.75,565400,36.400253
2012-12-03,45.959999,49.630001,43.860001,48.790001,384100,30.22925
2012-11-01,36.860001,46.470001,34.52,45.740002,285000,28.339535
2012-10-01,39.00,40.650002,35.220001,36.75,263000,22.76952
2012-09-04,29.84,38.349998,29.84,36.75,431200,22.76952
2012-08-01,28.48,29.83,27.110001,29.82,310000,18.47584
2012-07-02,26.809999,29.08,26.530001,28.559999,324200,17.695169
2012-06-01,25.120001,26.93,23.540001,26.58,648900,16.468405
2012-05-01,30.219999,31.709999,25.00,25.440001,2019000,15.762084
2012-04-02,26.629999,30.51,26.280001,30.360001,3322500,18.810411
2012-03-01,27.530001,27.940001,25.41,26.75,1482700,16.573732
2012-02-01,25.16,30.110001,25.16,27.209999,2368300,16.858738
2012-01-03,19.299999,25.440001,19.190001,24.940001,2462600,15.452295
2011-12-01,18.08,19.299999,17.440001,18.73,2187300,11.604711
2011-11-01,23.139999,27.209999,16.620001,18.200001,3913900,11.276334
2011-10-03,20.76,27.950001,18.40,24.76,2847400,15.340771
2011-09-01,28.41,29.610001,20.02,21.139999,2835600,13.097895
2011-08-01,28.33,29.00,19.200001,28.469999,3142300,17.639408
2011-07-01,24.610001,28.01,24.09,26.85,1633400,16.635691
2011-06-01,21.84,25.030001,20.030001,24.620001,3193400,15.25403
2011-05-02,22.40,22.40,18.299999,21.860001,2505600,13.543992
2011-04-01,23.35,24.379999,20.51,22.23,1862700,13.773236
2011-03-01,18.85,23.18,17.57,23.16,2567300,14.349444
2011-02-01,17.66,21.68,16.370001,18.90,3362400,11.710039
2011-01-03,15.41,17.469999,14.55,17.32,883100,10.731104
2010-12-01,12.31,15.35,11.82,15.18,621600,9.405206
2010-11-01,9.54,12.06,9.42,12.03,1314100,7.453533
2010-10-01,8.21,9.88,7.89,9.52,275200,5.89839
2010-09-01,7.25,8.30,7.19,8.25,247300,5.111525
2010-08-02,8.22,8.34,6.96,7.12,223700,4.411401
2010-07-01,7.51,8.32,6.71,8.10,242600,5.018589
2010-06-01,7.45,8.27,7.20,7.52,295900,4.659233
2010-05-03,8.54,8.63,6.89,7.56,357900,4.684016
2010-04-01,8.77,9.41,7.91,8.49,349100,5.260224
2010-03-01,7.93,9.60,7.88,8.75,521400,5.421314
2010-02-01,8.02,8.41,7.62,8.22,332200,5.092938
2010-01-04,7.10,8.83,7.10,8.02,690400,4.969022
2009-12-01,7.47,7.81,6.50,6.86,411200,4.25031
2009-11-02,10.60,11.35,6.95,7.33,668200,4.541512
2009-10-01,12.47,13.89,10.44,10.52,276900,6.517969
2009-09-01,9.67,12.67,9.51,12.44,246300,7.70756
2009-08-03,8.71,10.31,8.60,9.68,194500,5.997523
2009-07-01,7.45,8.80,6.21,8.54,251800,5.291203
2009-06-01,9.81,10.74,6.50,7.33,387700,4.541512
2009-05-01,7.31,9.74,7.00,9.56,363600,5.923173
2009-04-01,5.34,7.59,5.24,7.36,374000,4.5601
2009-03-02,4.59,5.90,3.13,5.54,425500,3.432467
2009-02-02,4.91,6.71,4.12,4.72,419400,2.924412
2009-01-02,4.01,5.17,3.78,5.11,396600,3.166048
2008-12-01,3.41,4.28,2.74,4.00,334900,2.478315
2008-11-03,4.04,5.86,2.44,3.50,623600,2.168526
2008-10-01,8.36,9.01,2.15,3.97,579200,2.459728
2008-09-02,14.01,14.29,8.47,8.52,551400,5.278811
2008-08-01,15.85,18.360001,11.15,13.94,453800,8.636928
2008-07-01,19.09,19.75,13.25,15.85,653500,9.820324
2008-06-02,26.540001,28.879999,18.17,19.25,584900,11.926891
2008-05-01,21.379999,26.879999,19.57,26.68,720100,16.530361
2008-04-01,23.35,25.389999,20.00,21.530001,564500,13.339532
2008-03-03,27.90,28.75,20.709999,23.030001,523900,14.2689
2008-02-01,26.549999,30.940001,23.73,28.10,663500,17.410164
2008-01-02,25.00,27.049999,22.049999,26.51,668100,16.425034
2007-12-03,22.02,26.25,21.10,24.940001,312700,15.452295
2007-11-01,22.10,23.27,20.209999,22.02,365300,13.643125
2007-10-23,21.049999,24.870001,19.799999,22.799999,1917500,14.126395
