Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,8.29,8.29,8.23,8.26,487600,5.996637
2013-03-01,7.75,8.43,7.75,8.29,343100,6.018416
2013-02-01,7.79,7.89,7.68,7.79,332900,5.621721
2013-01-02,7.38,7.74,7.34,7.72,364200,5.535809
2012-12-03,7.23,7.28,7.03,7.28,317900,5.186222
2012-11-01,7.36,7.54,6.36,7.20,338300,5.09361
2012-10-01,7.34,7.55,7.25,7.32,312900,5.141984
2012-09-04,6.97,7.56,6.95,7.32,389700,5.107428
2012-08-01,6.63,7.21,6.49,6.98,352300,4.83738
2012-07-02,6.30,6.58,6.25,6.58,295600,4.527359
2012-06-01,5.95,6.33,5.88,6.32,427100,4.315119
2012-05-01,6.48,6.55,5.91,6.05,383700,4.097778
2012-04-02,6.46,6.57,6.25,6.48,378200,4.353108
2012-03-01,6.55,6.67,6.35,6.50,466500,4.332747
2012-02-01,6.14,6.59,6.13,6.53,597300,4.319719
2012-01-03,5.35,6.14,5.28,6.09,502500,3.997372
2011-12-01,5.46,5.64,5.18,5.30,550800,3.44826
2011-11-01,5.80,6.00,5.13,5.45,403100,3.512589
2011-10-03,5.28,6.07,4.80,6.01,612300,3.838173
2011-09-01,6.57,6.58,5.29,5.34,425400,3.380687
2011-08-01,7.25,7.29,5.88,6.53,402500,4.100286
2011-07-01,7.15,7.64,7.14,7.18,412300,4.473098
2011-06-01,7.40,7.42,6.88,7.19,377700,4.448815
2011-05-02,7.47,7.47,7.11,7.40,430200,4.557501
2011-04-01,7.00,7.48,6.93,7.43,432100,4.555206
2011-03-01,7.02,7.05,6.57,7.01,329200,4.277737
2011-02-01,6.98,7.05,6.82,7.01,383700,4.257395
2011-01-03,7.09,7.23,6.92,6.97,346400,4.21306
2010-12-01,7.13,7.39,6.91,7.09,350000,4.265449
2010-11-01,7.08,7.56,6.85,7.02,421000,4.186123
2010-10-01,6.66,7.18,6.63,7.04,419000,4.178888
2010-09-01,6.06,6.70,6.06,6.61,300000,3.905147
2010-08-02,6.20,6.38,5.89,6.03,292200,3.544592
2010-07-01,5.41,6.21,5.32,6.18,339800,3.612984
2010-06-01,5.57,5.95,5.30,5.40,287500,3.139076
2010-05-03,6.57,6.60,4.50,5.66,428100,3.271782
2010-04-01,6.64,6.74,6.48,6.50,359500,3.735746
2010-03-01,6.14,6.63,6.14,6.57,307500,3.757154
2010-02-01,6.09,6.30,5.82,6.12,301800,3.482128
2010-01-04,6.35,6.87,5.99,6.00,533100,3.397116
2009-12-01,6.02,6.30,5.90,6.23,396000,3.511034
2009-11-02,5.86,6.24,5.73,5.97,313900,3.204519
2009-10-01,6.30,6.55,5.69,5.79,373600,3.092911
2009-09-01,5.82,6.74,5.57,6.25,438500,3.322786
2009-08-03,5.45,6.15,5.02,5.88,368400,3.111781
2009-07-01,4.67,5.48,4.33,5.38,387400,2.832241
2009-06-01,4.50,4.84,4.19,4.68,320000,2.448619
2009-05-01,3.87,4.48,3.83,4.42,350600,2.29727
2009-04-01,2.88,4.00,2.86,3.89,397500,2.007699
2009-03-02,2.69,3.06,2.13,2.94,441500,1.504984
2009-02-02,3.27,3.68,2.58,2.70,403200,1.366481
2009-01-02,3.87,4.36,3.09,3.28,418600,1.643852
2008-12-01,3.41,4.05,3.05,3.95,750100,1.962524
2008-11-03,4.56,5.15,2.25,3.70,582400,1.777357
2008-10-01,6.33,6.69,2.99,4.45,661300,2.068902
2008-09-02,8.95,9.69,5.75,6.49,504000,2.940703
2008-08-01,9.71,10.12,8.38,8.81,331500,3.925042
2008-07-01,10.78,10.98,8.72,9.60,341000,4.214926
2008-06-02,13.11,13.29,10.71,10.85,310600,4.704315
2008-05-01,12.96,13.80,12.90,13.10,275200,5.620445
2008-04-01,12.75,13.68,12.50,13.01,242400,5.529398
2008-03-03,13.76,13.76,11.88,12.67,264500,5.332888
2008-02-01,14.05,14.77,12.76,13.72,401700,5.714329
2008-01-02,13.45,14.18,11.50,14.07,496600,5.806406
2007-12-03,14.39,14.62,12.70,13.35,1034300,5.457062
2007-11-01,15.61,15.66,13.01,14.40,600700,5.829806
2007-10-01,15.65,17.190001,14.72,15.71,440900,6.305058
2007-09-04,16.549999,16.719999,15.09,15.51,377200,6.175597
2007-08-01,17.10,17.299999,13.76,16.57,380900,6.545933
2007-07-02,18.60,19.59,16.50,17.530001,261200,6.867507
2007-06-01,20.00,20.10,18.00,18.59,351700,7.2322
2007-05-01,20.01,20.549999,19.76,20.01,283600,7.732489
2007-04-26,20.10,20.120001,19.99,20.01,825000,7.732489
