Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,19.48,19.719999,19.40,19.40,5103400,15.296645
2013-03-01,18.16,20.00,17.99,19.32,2364200,15.233566
2013-02-01,17.049999,18.450001,17.040001,18.219999,2818400,14.366231
2013-01-02,15.71,17.49,15.38,16.879999,3114400,12.792635
2012-12-03,13.81,15.24,13.35,15.23,1460500,11.542171
2012-11-01,14.88,15.45,13.57,13.75,1582700,10.420542
2012-10-01,15.20,15.49,14.41,15.05,1102500,11.22387
2012-09-04,14.25,15.68,13.87,15.11,1034900,11.268617
2012-08-01,14.09,14.65,13.58,14.25,620900,10.627253
2012-07-02,13.09,14.95,12.88,13.99,1309900,10.337633
2012-06-01,11.42,13.01,11.36,12.89,1517600,9.52481
2012-05-01,14.12,14.39,11.03,11.75,1262500,8.682429
2012-04-02,14.87,15.50,13.31,14.12,1312700,10.318362
2012-03-01,14.38,14.92,13.28,14.83,1406000,10.837203
2012-02-01,14.15,15.20,14.11,14.32,1421800,10.464514
2012-01-03,13.00,14.29,12.86,13.98,980500,9.991218
2011-12-01,12.90,13.68,12.00,12.83,1092700,9.169337
2011-11-01,12.88,14.58,11.07,12.83,1413300,9.169337
2011-10-03,10.29,14.11,8.95,13.48,2142300,9.565408
2011-09-01,12.78,12.82,10.30,10.40,1891200,7.379839
2011-08-01,15.33,15.33,10.07,12.80,2951200,9.08288
2011-07-01,16.49,16.700001,14.05,14.65,2100500,10.288064
2011-06-01,17.200001,17.35,15.10,16.32,1685600,11.460834
2011-05-02,19.129999,19.16,16.60,17.190001,2147200,12.071797
2011-04-01,16.60,19.16,16.559999,18.959999,2569200,13.155196
2011-03-01,16.780001,18.290001,15.77,16.41,2442300,11.385906
2011-02-01,15.05,17.450001,15.00,16.66,2480800,11.366599
2011-01-03,14.43,15.89,14.15,14.99,2256400,10.22721
2010-12-01,12.94,14.81,12.52,14.20,1603600,9.688218
2010-11-01,12.84,13.75,12.40,12.58,1457600,8.582942
2010-10-01,10.65,12.97,10.40,12.68,1410800,8.553009
2010-09-01,10.12,11.00,9.77,10.60,1681900,7.149992
2010-08-02,9.49,10.85,9.19,10.02,1087400,6.758766
2010-07-15,10.50,11.08,8.64,9.05,2053100,6.057607
