Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,4.77,4.80,4.75,4.77,189600,7.204333
2013-03-01,4.65,4.81,4.65,4.80,90700,7.249644
2013-02-01,4.85,4.87,4.61,4.76,126200,7.143919
2013-01-02,5.31,5.63,4.74,4.82,223400,7.188662
2012-12-03,5.40,5.40,5.07,5.23,71800,7.717018
2012-11-01,5.75,5.79,4.80,5.37,96100,7.787267
2012-10-01,5.93,6.03,5.65,5.76,66800,8.256259
2012-09-04,5.81,6.01,5.75,5.90,73500,8.371364
2012-08-01,5.58,5.92,5.52,5.81,56500,8.161228
2012-07-02,5.39,5.75,5.36,5.58,66400,7.757896
2012-06-01,5.20,5.47,4.98,5.35,58400,7.359693
2012-05-01,5.93,6.00,5.17,5.28,63200,7.183139
2012-04-02,6.08,6.13,5.86,5.94,54900,7.989892
2012-03-01,6.19,6.26,5.95,6.06,59400,8.071259
2012-02-01,5.94,6.34,5.93,6.19,76100,8.164748
2012-01-03,5.29,5.95,5.23,5.86,85100,7.655029
2011-12-01,5.63,5.69,5.09,5.17,83000,6.684988
2011-11-01,5.87,6.13,5.35,5.63,55300,7.196903
2011-10-03,5.30,6.15,4.90,6.02,57900,7.617053
2011-09-01,6.45,6.45,5.35,5.35,61700,6.699521
2011-08-01,7.13,7.21,5.50,6.41,101400,7.948591
2011-07-01,7.39,7.64,6.84,6.95,56100,8.534671
2011-06-01,7.61,7.67,6.98,7.35,61600,8.952889
2011-05-02,7.78,7.89,7.37,7.59,56600,9.169241
2011-04-01,7.64,7.75,7.31,7.70,53000,9.231299
2011-03-01,7.69,7.84,6.64,7.60,63200,9.038812
2011-02-01,7.92,8.18,7.34,7.73,70400,9.120459
2011-01-03,7.45,8.20,7.37,8.02,76800,9.39279
2010-12-01,7.10,7.80,7.05,7.29,90500,8.47364
2010-11-01,6.84,7.19,6.74,7.00,69500,7.925754
2010-10-01,6.50,7.01,6.45,6.84,59700,7.679239
2010-09-01,5.87,6.55,5.87,6.51,64900,7.245009
2010-08-02,6.39,6.49,5.75,5.78,54700,6.373211
2010-07-01,5.78,6.49,5.62,6.34,92500,6.924108
2010-06-01,7.84,8.98,5.71,5.79,163900,6.262437
2010-05-03,11.01,11.15,7.00,7.94,161500,8.478405
2010-04-01,10.49,11.94,10.49,11.00,94600,11.59443
2010-03-01,9.65,10.85,9.63,10.46,85400,10.921769
2010-02-01,9.56,10.00,8.51,9.63,87400,9.952238
2010-01-04,10.27,10.33,9.47,9.51,69800,9.716885
2009-12-01,9.82,10.25,9.74,10.13,54200,10.238641
2009-11-02,9.48,10.12,8.97,9.68,56500,9.617818
2009-10-01,9.58,10.25,8.50,9.22,69100,9.060804
2009-09-01,9.39,10.65,8.75,9.50,77800,9.234591
2009-08-03,8.55,9.52,8.55,9.11,58400,8.760914
2009-07-01,7.99,8.85,7.16,8.50,46900,8.079838
2009-06-01,8.15,8.82,6.59,7.89,72700,7.406347
2009-05-01,6.69,8.47,6.60,8.08,53000,7.482954
2009-04-01,6.15,7.44,6.07,6.62,56000,6.034905
2009-03-02,5.75,6.59,4.31,6.15,71200,5.521029
2009-02-02,7.96,8.40,5.51,5.83,80700,5.140749
2009-01-02,7.00,8.99,6.90,8.09,70100,6.976678
2008-12-01,7.19,7.43,6.27,7.07,61400,5.965678
2008-11-03,8.39,8.98,5.17,7.10,65100,5.847343
2008-10-01,10.00,12.44,3.90,8.79,86600,7.080176
2008-09-02,13.00,13.25,8.40,9.92,109800,7.827301
2008-08-01,13.51,13.95,12.54,12.84,62400,9.978888
2008-07-01,14.90,15.41,12.00,13.68,77600,10.496529
2008-06-02,18.469999,18.50,15.00,15.11,49600,11.455925
2008-05-01,19.450001,20.10,18.35,18.450001,38600,13.850594
2008-04-01,18.50,19.76,18.50,19.35,26900,14.396533
2008-03-03,19.32,19.32,17.209999,18.450001,32000,13.607318
2008-02-01,19.02,19.51,18.18,19.26,35100,14.071738
2008-01-02,21.610001,22.48,16.709999,19.139999,59400,13.857613
2007-12-03,22.43,23.85,21.01,21.540001,39800,15.471009
2007-11-01,23.90,23.940001,21.02,22.450001,39400,14.935384
2007-10-01,23.42,24.23,23.08,24.049999,27200,15.878933
2007-09-04,22.58,23.360001,22.040001,23.290001,26800,15.267632
2007-08-01,23.25,23.52,18.299999,22.48,63400,14.627289
2007-07-02,24.280001,25.50,21.469999,23.25,58800,15.004071
2007-06-01,24.049999,24.48,22.92,24.27,40500,15.557323
2007-05-01,24.549999,24.950001,23.42,23.690001,58000,15.084887
2007-04-02,23.90,24.90,23.639999,24.549999,40800,15.530951
2007-03-01,22.25,23.98,21.92,23.84,41300,14.98289
2007-02-01,23.08,24.200001,22.15,22.52,57300,14.054455
2007-01-03,23.23,23.25,21.33,23.10,88000,14.320437
2006-12-01,22.700001,23.42,22.58,23.00,73300,14.158822
2006-11-01,21.540001,22.799999,21.299999,22.60,66700,13.817288
2006-10-02,20.60,21.85,20.32,21.51,63600,13.061215
2006-09-01,20.799999,21.200001,20.42,20.549999,65800,12.391229
2006-08-01,20.09,21.50,20.00,20.790001,72200,12.446404
2006-07-27,20.00,20.09,20.00,20.09,31400,12.027332
